# formatVersion	mapperValue	mapperName	skin	view	pngFile	pivotX	pivotY	ppu	alphaX	alphaY	alphaWidth	alphaHeight	fragmentSignature
2	146	MAPPER_GATE_STONE2A	Generic	Default	MAPPER_GATE_STONE2A_Generic_Default.png	0.5	0.2152381	64	0	0	448	524	B16354CCE8ADB48C
2	306	MAPPER_GIBBET	Generic	Default	MAPPER_GIBBET_Generic_Default.png	0.5	0.118279569	64	0	0	128	278	A1DAE23D43E8E331
2	80	MAPPER_GRANARY	Generic	Default	MAPPER_GRANARY_Generic_Default.png	0.5	0.232142851	64	0	0	256	279	3F8748A798119F53
2	93	MAPPER_HEALER	Generic	Default	MAPPER_HEALER_Generic_Default.png	0.5	0.25526315	64	0	0	384	379	5A7485A98F0F173D
2	71	MAPPER_HOPSFARM	Generic	Default	MAPPER_HOPSFARM_Generic_Default.png	0.5	0.2489083	64	0	0	416	393	A5DEF37A8BC41620
2	54	MAPPER_HOVEL	Generic	Default	MAPPER_HOVEL_Generic_Default.png	0.5	0.2927928	64	0	0	256	221	7902E15E36F8B12E
2	78	MAPPER_HUNTER	Generic	Default	MAPPER_HUNTER_Generic_Default.png	0.5	0.291666657	64	0	0	192	167	4D0B708D0B5BDC4B
2	92	MAPPER_INN	Generic	Default	MAPPER_INN_Generic_Default.png	0.5	0.211488247	64	0	0	320	382	325564C7F3293CFD
2	90	MAPPER_IRON_MINE	Generic	Default	MAPPER_IRON_MINE_Generic_Default.png	0.5	0.299539179	64	0	0	256	216	EC9A75107D63DD63
2	175	MAPPER_MAYPOLE	Generic	Default	MAPPER_MAYPOLE_Generic_Default.png	0.5	0.263440847	64	0	0	192	185	330A2FE7077A1084
2	74	MAPPER_MILL	Generic	Default	MAPPER_MILL_Generic_Default.png	0.5	0.09979633	64	0	0	192	490	0AF6BC02F4978830
2	180	MAPPER_OIL_SMELTER	Generic	ReservationFront	MAPPER_OIL_SMELTER_Generic_ReservationFront.png	0.5	0.319078952	64	0	0	384	303	FA466BC20761BD20
2	180	MAPPER_OIL_SMELTER	Generic	ReservationRear	MAPPER_OIL_SMELTER_Generic_ReservationRear.png	0.5	0.404166669	64	0	0	384	239	764C1DD5133C3982
2	179	MAPPER_OUTPOST_ARAB	Generic	Default	MAPPER_OUTPOST_ARAB_Generic_Default.png	0.5	0.368181825	64	0	0	320	217	1454ACED2527C573
2	53	MAPPER_OUTPOST_BEDOUIN	Generic	Default	MAPPER_OUTPOST_BEDOUIN_Generic_Default.png	0.5	0.405	64	0	0	320	199	06DAB6E3C059ABF5
2	178	MAPPER_OUTPOST	Generic	Default	MAPPER_OUTPOST_Generic_Default.png	0.5	0.248466253	64	0	0	320	325	F693671DF9256CC1
2	55	MAPPER_OXENBASE	Generic	Default	MAPPER_OXENBASE_Generic_Default.png	0.5	0.266129047	64	0	0	128	123	448AF040C091049C
2	91	MAPPER_PITCH_WORKINGS	Generic	Default	MAPPER_PITCH_WORKINGS_Generic_Default.png	0.5	0.430463582	64	0	0	256	150	02CF884FC7B071FE
2	82	MAPPER_POLETURNER	Generic	Default	MAPPER_POLETURNER_Generic_Default.png	0.5	0.278969944	64	0	0	256	232	38C86D9A823313D3
2	325	MAPPER_POND1	Generic	Default	MAPPER_POND1_Generic_Default.png	0.5	0.457627118	64	0	0	320	176	8F26BCA6D88A4E24
2	327	MAPPER_POND3	Generic	Default	MAPPER_POND3_Generic_Default.png	0.5	0.4974359	64	0	0	384	194	8F6428930DA6D9F9
2	56	MAPPER_QUARRY	Generic	Default	MAPPER_QUARRY_Generic_Default.png	0.5	0.223502308	64	0	0	384	433	496F9B8EC1DFF035
2	308	MAPPER_RACK_STRETCHING	Generic	Default	MAPPER_RACK_STRETCHING_Generic_Default.png	0.5	0.3402778	64	0	0	192	143	3619CD7E1CC2974F
2	318	MAPPER_SHRINE1	Generic	Default	MAPPER_SHRINE1_Generic_Default.png	0.5	0.333333343	64	0	0	128	144	FF837F0AE3C4CF44
2	65	MAPPER_STABLES	Generic	Default	MAPPER_STABLES_Generic_Default.png	0.5	0.303125	64	0	0	384	319	66D7306E55431B69
2	181	MAPPER_STAIR	Generic	StairNorth	MAPPER_STAIR_Generic_StairNorth.png	0.5	0.25757575	64	0	0	64	65	BBA5557A20B7CB42
2	181	MAPPER_STAIR	Generic	StairSouth	MAPPER_STAIR_Generic_StairSouth.png	0.5	0.3469388	64	0	0	64	50	C5C24EE48CCCA13B
2	313	MAPPER_STATUE1	Generic	Default	MAPPER_STATUE1_Generic_Default.png	0.5	0.162561581	64	0	0	128	202	AD465BFC1C7A5BE7
2	177	MAPPER_STOCKS	Generic	Default	MAPPER_STOCKS_Generic_Default.png	0.5	0.441441447	64	0	0	192	110	D4E14AD05ED78D3B
2	52	MAPPER_STORES	Generic	Default	MAPPER_STORES_Generic_Default.png	0.5	0.437837839	64	0	0	320	184	29EE0577EED337FE
2	85	MAPPER_TANNER	Generic	Default	MAPPER_TANNER_Generic_Default.png	0.5	0.281385273	64	0	0	256	230	5D854CB2C63038E0
2	110	MAPPER_TOWER1	Generic	Default	MAPPER_TOWER1_Generic_Default.png	0.5	0.06882022	64	0	0	192	711	2466B6D7C336AA62
2	111	MAPPER_TOWER2	Generic	Default	MAPPER_TOWER2_Generic_Default.png	0.5	0.136268348	64	0	0	256	476	6988605B07EE4333
2	112	MAPPER_TOWER3	Generic	Default	MAPPER_TOWER3_Generic_Default.png	0.5	0.147272721	64	0	0	320	549	EFE21AEA46FD9EDD
2	113	MAPPER_TOWER4	Generic	Default	MAPPER_TOWER4_Generic_Default.png	0.5	0.158238173	64	0	0	384	612	A2D09779C1F827A6
2	114	MAPPER_TOWER5	Generic	Default	MAPPER_TOWER5_Generic_Default.png	0.5	0.1552	64	0	0	384	624	141D0EE58FE205F1
2	77	MAPPER_TRADEPOST	Generic	Default	MAPPER_TRADEPOST_Generic_Default.png	0.5	0.2755102	64	0	0	320	293	1E5FED89F23CBD3C
2	89	MAPPER_TUNNELERS_GUILD	Generic	ReservationFront	MAPPER_TUNNELERS_GUILD_Generic_ReservationFront.png	0.5	0.406040281	64	0	0	480	297	78594AF616A7C3FA
2	89	MAPPER_TUNNELERS_GUILD	Generic	ReservationRear	MAPPER_TUNNELERS_GUILD_Generic_ReservationRear.png	0.5	0.320105821	64	0	0	480	377	B6BBE035A1E21F74
2	25	MAPPER_WALL	Generic	Default	MAPPER_WALL_Generic_Default.png	0.507692337	0.5981308	64	0	0	64	211	4D60C4C3C3292D86
2	342	MAPPER_WATERPOT	Generic	Default	MAPPER_WATERPOT_Generic_Default.png	0.5	0.246212125	64	0	0	256	263	A2F1D8D1BDBC3341
2	330	MAPPER_WELL	Generic	Default	MAPPER_WELL_Generic_Default.png	0.5	0.293413162	64	0	0	192	166	E1257C6B7E2DC4F4
2	70	MAPPER_WHEATFARM	Generic	Default	MAPPER_WHEATFARM_Generic_Default.png	0.5	0.503876	64	0	0	448	396	F0DBF9F73B85BAFD
2	51	MAPPER_WOODSMAN	Generic	Default	MAPPER_WOODSMAN_Generic_Default.png	0.5	0.286549717	64	0	0	192	170	2A9FE00098C02C40
2	46	MAPPER_WOODWALL	Generic	Default	MAPPER_WOODWALL_Generic_Default.png	0.507692337	0.710280359	64	0	0	64	140	B26FF1B5AE73B09E
