rva	name	returnType	parameterTypes	parameterNames	signature
0x863F0	DLL_PreInitTutorial	Void			Void DLL_PreInitTutorial()
0x81050	DLL_ApplyMultiplayerSetupData	Void	Byte*	retData	Void DLL_ApplyMultiplayerSetupData(Byte*)
0x84280	DLL_GetMultiplayerSetupData	Void	Byte*	retData	Void DLL_GetMultiplayerSetupData(Byte*)
0x864C0	DLL_RegisterMultiplayerUser	Void	Int32|Byte*|Int32|Int32|Boolean|Int32	playerID|name|nameLength|team|localPlayer|lordType	Void DLL_RegisterMultiplayerUser(Int32, Byte*, Int32, Int32, Boolean, Int32)
0x86550	DLL_RegisterSkirmishUser	Void	Int32|Int32|Int32|Int32	playerID|AILord|subType|team	Void DLL_RegisterSkirmishUser(Int32, Int32, Int32, Int32)
0x87350	DLL_SetExtendedLordConfig	Void	Byte*|Int32	retData|playerID	Void DLL_SetExtendedLordConfig(Byte*, Int32)
0x87880	DLL_StartMultiplayerGame	Int32	Boolean	fromSave	Int32 DLL_StartMultiplayerGame(Boolean)
0x87440	DLL_SetMPRandSeed	Void	Int32	seed	Void DLL_SetMPRandSeed(Int32)
0x878B0	DLL_StartMultiplayerGameSynced	Int32			Int32 DLL_StartMultiplayerGameSynced()
0x853F0	DLL_LoadSaveGame	Int32	Byte*|Int32|Byte*|Boolean	data|length|retData|loadingEditorMap	Int32 DLL_LoadSaveGame(Byte*, Int32, Byte*, Boolean)
0x86480	DLL_ReceiveChore	Int32	Int32|Byte*|Int32	playerID|data|length	Int32 DLL_ReceiveChore(Int32, Byte*, Int32)
0x84220	DLL_GetMultiplayerChatInfo	Void	Int32*|Int32*	players|teams	Void DLL_GetMultiplayerChatInfo(Int32*, Int32*)
0x84A30	DLL_KickMPPlayer	Void	Int32|Boolean	kickPlayerID|immediate	Void DLL_KickMPPlayer(Int32, Boolean)
0x86440	DLL_PromoteMPHost	Void	Int32	hostID	Void DLL_PromoteMPHost(Int32)
0x87940	DLL_TriggerMPSave	Int32	Byte*|Int32	data|length	Int32 DLL_TriggerMPSave(Byte*, Int32)
0x87910	DLL_TriggerMPLoad	Int32	Byte*|Int32	data|length	Int32 DLL_TriggerMPLoad(Byte*, Int32)
0x86580	DLL_RemapPlayers	Int32	Int32*|Int32	newMappings|newLocalPlayer	Int32 DLL_RemapPlayers(Int32*, Int32)
0x81360	DLL_ConnectionPause	Int32	Boolean	pause	Int32 DLL_ConnectionPause(Boolean)
0x86F80	DLL_SaveSaveGame	Int32	Byte*|Int32|Int32|Int32|Int32|Int32|Boolean|Boolean|Boolean	data|length|screenCentreX|screenCentreY|realScreenCentreX|realScreenCentreY|lockMap|tempLockOnly|mapSave	Int32 DLL_SaveSaveGame(Byte*, Int32, Int32, Int32, Int32, Int32, Boolean, Boolean, Boolean)
0x873E0	DLL_SetMPRadarColours	Int32	Int32*	newMappings	Int32 DLL_SetMPRadarColours(Int32*)
0x84AC0	DLL_LoadMapToPlay	Int32	Int32|Byte*|Int32|Byte*|Boolean|Byte*|Int32|Boolean|Int32|Int32|Boolean	campaignMapID|fileName|length|retData|dummy|mapName|maplength|multiplayerSave|trailType|trailID|allow_classic_bedouins	Int32 DLL_LoadMapToPlay(Int32, Byte*, Int32, Byte*, Boolean, Byte*, Int32, Boolean, Int32, Int32, Boolean)
0x816B0	DLL_CreateTrailMission	Int32	Byte*|Int32|Byte*|Int32	fileName|length|restartInfo|restartInfoLength	Int32 DLL_CreateTrailMission(Byte*, Int32, Byte*, Int32)
0x81270	DLL_CampaignLevel	Int32	Byte*|Int32	path|length	Int32 DLL_CampaignLevel(Byte*, Int32)
0x83440	DLL_GetColourMapping	Void	Int32*|Int32	retData|remappedPlayer	Void DLL_GetColourMapping(Int32*, Int32)
0x847E0	DLL_GetTrailMissionLords	Void	Int32*|Int32|Int32	retData|trail|trailID	Void DLL_GetTrailMissionLords(Int32*, Int32, Int32)
0x84600	DLL_GetTrailMissionInfo	Void	Int32*|Byte*|Int32|Int32	retData|mapName|trail|trailID	Void DLL_GetTrailMissionInfo(Int32*, Byte*, Int32, Int32)
0x86680	DLL_RunTick	Int32	Int16*|Byte*|Boolean|Int32|Int32|Boolean|Boolean|Boolean|Byte*|Boolean|Boolean|Boolean|Boolean|Boolean|Boolean|Boolean|Boolean|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Int32|Boolean|Boolean|Int32|Int32|Byte*|Int32*|Boolean|Int32|Int32|Int32|Int32|Int32|Int32	data|radarMap|flattenedLandscape|mouseOverX|mouseOverY|shiftPressed|ctrlPressed|altPressed|retData|paused|ambientSoundChannel1|ambientSoundChannel2|speechSoundChannel1|speechSoundChannel2|musicPlaying|musicAboutToLoop|binkPlaying|screenCentrePosX|screenCentrePosY|screenTilesWide|screenTilesHigh|radarMapWidth|radarMapHeight|radarZoom|screenZoom|SH1RtsControls|troopModeMode|screenCentreTileX|screenCentreTileY|choreBuffer|selectedChimpsBuffer|mpFrameSkip|buildingOverDepth|troopOverdepth|scrBoundsLeft|scrBoundsRight|scrBoundsTop|scrBoundsBottom	Int32 DLL_RunTick(Int16*, Byte*, Boolean, Int32, Int32, Boolean, Boolean, Boolean, Byte*, Boolean, Boolean, Boolean, Boolean, Boolean, Boolean, Boolean, Boolean, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Int32, Boolean, Boolean, Int32, Int32, Byte*, Int32*, Boolean, Int32, Int32, Int32, Int32, Int32, Int32)
0x84850	DLL_ImportAIV	Void	Int32|Int32|Int16*|Int32|Int32	AILord|ID|data|length|custom	Void DLL_ImportAIV(Int32, Int32, Int16*, Int32, Int32)
0x876F0	DLL_SetPath	Int32	Byte*|Int32|Byte*|Int32|Byte*|Int32	data|length|autoData|autoLength|saveFolderData|saveFolderLength	Int32 DLL_SetPath(Byte*, Int32, Byte*, Int32, Byte*, Int32)
0x87B60	DLL_Unpack	Int32	Byte*|Byte*|Int32	source|dest|destBufferLength	Int32 DLL_Unpack(Byte*, Byte*, Int32)
0x85DB0	DLL_Pack	Int32	Byte*|Byte*|Int32	source|dest|sourceLength	Int32 DLL_Pack(Byte*, Byte*, Int32)
0x84840	DLL_GetunpackSize	Int32	Byte*	source	Int32 DLL_GetunpackSize(Byte*)
0x87B80	DLL_UnpackRadarToARGB	Int32	Byte*|Byte*	source|dest	Int32 DLL_UnpackRadarToARGB(Byte*, Byte*)
0x81210	DLL_CRC	Int32	Byte*|Int32	source|size	Int32 DLL_CRC(Byte*, Int32)
0x81240	DLL_CRCS	Int32	Int16*|Int32	source|size	Int32 DLL_CRCS(Int16*, Int32)
0x84290	DLL_GetSaveRadar	Int32	Byte*|Int32*	dest|keeps	Int32 DLL_GetSaveRadar(Byte*, Int32*)
0x876D0	DLL_SetMapRotation	Int32	Int32|Int32|Int32	rotation|centreX|centreY	Int32 DLL_SetMapRotation(Int32, Int32, Int32)
0x87830	DLL_StartMapAction	Int32	Int32	action	Int32 DLL_StartMapAction(Int32)
0x85BD0	DLL_MapAction	Int32	Int32|Int32|Int32|Int32|Int32|Boolean|Boolean|Int32	action|map_x|map_y|brushSize|playerID|inGameNotMapEditor|constructingOnly|mouseState	Int32 DLL_MapAction(Int32, Int32, Int32, Int32, Int32, Boolean, Boolean, Int32)
0x81870	DLL_GameAction	Int32	Int32|Int32|Int32|Int32	action|structureID|value|value2	Int32 DLL_GameAction(Int32, Int32, Int32, Int32)
0x879A0	DLL_TroopSelection	Int32	Int32|Boolean|Boolean|Int32|Int32*|Boolean|Boolean|Int32|Int32*|Int32|Int32|Boolean|Int32|Int32*	mouseState|rightDown|rightUp|count|selectedChimps|selection_on|selection_established|underCursorCount|underCursorChimps|mousePosX|mousePosY|overTopHalf|onScreenCount|onScreenChimps	Int32 DLL_TroopSelection(Int32, Boolean, Boolean, Int32, Int32*, Boolean, Boolean, Int32, Int32*, Int32, Int32, Boolean, Int32, Int32*)
0x87B20	DLL_TroopSelectionChanged	Int32	Int32|Int32*	count|selectedChimps	Int32 DLL_TroopSelectionChanged(Int32, Int32*)
0x84130	DLL_GetMapperSize	Int32	Int32	action	Int32 DLL_GetMapperSize(Int32)
0x84A20	DLL_IsMapperAvailable	Int32	Int32	mapper	Int32 DLL_IsMapperAvailable(Int32)
0x84110	DLL_GetMapperCoord	Int32	Int32	mapper	Int32 DLL_GetMapperCoord(Int32)
0x87200	DLL_SetAchValues	Void	Int32|Int32|Int32	food|wood|weapons	Void DLL_SetAchValues(Int32, Int32, Int32)
0x84930	DLL_ImportTrailTimes	Int32	Int32|Int32*|Boolean	trailType|times|handleExceptions	Int32 DLL_ImportTrailTimes(Int32, Int32*, Boolean)
0x872E0	DLL_SetEditorPlayer	Void	Int32	playerID	Void DLL_SetEditorPlayer(Int32)
0x87800	DLL_SetUTF8MissionText	Void	Byte*|Int32	text|length	Void DLL_SetUTF8MissionText(Byte*, Int32)
0x877A0	DLL_SetUTF8MapName	Void	Byte*|Int32|Byte*|Int32	text|length|text2|length2	Void DLL_SetUTF8MapName(Byte*, Int32, Byte*, Int32)
0x84490	DLL_GetScenarioOverview	Void	Byte*	retData	Void DLL_GetScenarioOverview(Byte*)
0x81370	DLL_CreateScenarioAction	Int32	Int32	action	Int32 DLL_CreateScenarioAction(Int32)
0x84330	DLL_GetScenarioEvent	Boolean	Int32|Byte*	eventID|retData	Boolean DLL_GetScenarioEvent(Int32, Byte*)
0x843E0	DLL_GetScenarioInvasion	Boolean	Int32|Byte*	eventID|retData	Boolean DLL_GetScenarioInvasion(Int32, Byte*)
0x81060	DLL_ApplyScenarioEvent	Boolean	Int32|Byte*	eventID|retData	Boolean DLL_ApplyScenarioEvent(Int32, Byte*)
0x81140	DLL_ApplyScenarioInvasion	Boolean	Int32|Byte*	eventID|retData	Boolean DLL_ApplyScenarioInvasion(Int32, Byte*)
0x817A0	DLL_DeleteScenarioAction	Void	Int32	eventID	Void DLL_DeleteScenarioAction(Int32)
0x87C10	DLL_UpdateScenarioActionDate	Void	Int32|Int32|Int32	entryID|year|month	Void DLL_UpdateScenarioActionDate(Int32, Int32, Int32)
0x87460	DLL_SetMapEditorParam	Int32	Int32|Int32|Int32|Int32	SPMPMode|gameType|koth|mapSize	Int32 DLL_SetMapEditorParam(Int32, Int32, Int32, Int32)
0x87220	DLL_SetAppMode	Void	Int32|Int32	app_mode|app_sub_mode	Void DLL_SetAppMode(Int32, Int32)
0x87B40	DLL_TutorialAction	Void	Int32|Int32	ID|value	Void DLL_TutorialAction(Int32, Int32)
0x84140	DLL_GetMeritData	Void	Int32*	retData	Void DLL_GetMeritData(Int32*)
0x844A0	DLL_GetScoreData	Void	Byte*	retData	Void DLL_GetScoreData(Byte*)
0x83CB0	DLL_GetMPScoreData	Void	Byte*	retData	Void DLL_GetMPScoreData(Byte*)
0x872B0	DLL_SetDebugMode	Int32	Int32	action	Int32 DLL_SetDebugMode(Int32)
0x839A0	DLL_GetLayerDebug	Int32	Int32|Int32|Byte*	x|y|retData	Int32 DLL_GetLayerDebug(Int32, Int32, Byte*)
0x837A0	DLL_GetLayerData	Int32	Int32|Byte*	layedID|retData	Int32 DLL_GetLayerData(Int32, Byte*)
